IZIN PEMANFAATAN RUANG,IPR,503,IPU
IJIN LINGKUNGAN,ILING,503,IPU
LOKASI,LOK,503,IPU
PENETAPAN LOKASI,PKL,503,IPU
IJIN MENDIRIKAN BANGUNAN,IMB,503,IPU
SURAT IZIN TEMPAT USAHA,SITU,503,IPU
GANGGUAN,HO,503,IPU
SURAT IZIN MINUMAN BERALKOHOL,SITU-MB,503,IPU
PERTAMBANGAN,IUP,510,IU
PENYIMPANAN BBM,PBBM,510,IU
SIUP MENENGAH DAN SIUP BESAR,SIUP,510,IU
PENGGILINGAN PADI,PPADI,510,IU
IZIN USAHA INDUSTRI,IUI,510,IU
IZIN USAHA PETERNAKAN,IUP,510,IU
PEMOTONGAN HEWAN,PHW,510,IU
TOKO OBAT HEWAN,TOH,510,IU
DEPO OBAT HEWAN,DOH,510,IU
PAKAN TERNAK,PTRNK,510,IU
KLINIK,KLK,510,IU
APOTEK,APT,510,IU
PRODUKSI RUMAH TANGGA,PIRT,510,IU
IZIN USAHA TOKO MODERN,IUTM,510,IU
PENGELOLAAN PASAR TRADITIONAL,IUP2T,510,IU
PUSAT PERBELANJAAN,IUPP,510,IU
LEMBAGA PELATIHAN KERJA SWASTA,LPKS,510,IU
EKSPLORASI ABT,ERABT,510,IU
EKSPLOITASI ABT,ELABT,510,IU
PENURAPAN MATA AIR,PUMA,510,IU
PENGAMBILAN ABT,PABT,510,IU
PENGAMBILAN MATA AIR,PAMA,510,IU
PENYEDIAN TENAGA LISTRIK,PTL,510,IU
LABORATORIUM KESEHATAN,LK,510,IU
TOKO OBAT ,TOBT,510,IU
OPTIKAL,OPTK,510,IU
PEMBUANGAN LIMBAH KE SUMBER AIR,PMSA,510,IU
PEMANFAATAN AIR LIMBAH KE TANAH,PALT,510,IU
PENYIMPANAN SEMENTARA LIMBAH B3,PSLB,510,IU
PENGUMPULAN  LIMBAH B3,PLB3,510,IU
PEMANFAATAN SARANG BURUNG WALET,PMSBW,510,IU
PENGELOLAAN SARANG BURUNG WALET,PGSBW,510,IU
PEKEBUNAN UNTUK BUDIDAYA,PBUD,510,IU
PERKEBUNAN UNTUK PENGELOLAAN,PPG,510,IU
MEMPEKERJAAN TENAGA ASING,IMTA,510,IU
IZIN PERDAGANGAN MINUMAN BERALKOHOL,IPMB,510,IU
TDUP JASA PERJALANAN WISATA,TJPW,510,IU
TDUP PENYEDIAN AKOMODASI,TPAK,510,IU
TDUP JASA MAKAN DAN MINUMAN ,TJMM,510,IU
TDUP KAWASAN PARIWISATA,TKPAR,510,IU
TDUP JASA TRANSPORTASI WISATA,TJTW,510,IU
TDUP DAYA TARIK WISATA,TDTW,510,IU
TDUP KEGIATAN HIBURAN DAN REKREASI,TKHR,510,IU
TDUP PRAMUWISATA,TPAR,510,IU
TDUP PENYELENGGARAAN PERTEMUAN,TPP,510,IU
TDUP JASA KONSULTAN PARIWISATA,TJKP,510,IU
TDUP JASA INFORMASI PARIWISATA,TJIP,510,IU
TDUP WISATA TIRTA,TWT,510,IU
TDUP WISATA SPA,TWS,510,IU
TDP PENGGILINGAN PADI,TPP,510,IU
TANDA DAFTAR INDUSTRI,TDI,510,IU
TDP PETERNAKAN RAKYAT,TPR,510,IU
TANDA DAFTAR PERUSAHAAN ,TDR,510,IU
TDP HASIL PERKEBUNAN ,STD-P,510,IU
SURAT TANDA DAFTAR USAHA PERKEBUNAN,STD-B,510,IU
